"","D1n1","D1n2","D3n1","D3n2","D7n1","D7n2","LZn1","LZn2","Pachn1","Pachn2"
"NM_009909",0.4823855,1.446809,0.5260779,0.3615402,0.02727874,0,0,0,0,0
"NM_009908",17.96886,18.4681,22.26497,19.64368,20.92279,19.70393,6.232004,5.283329,7.863602,5.619124
"NM_024431",0,0,0,0,0,0,0,0,0,0
"NM_024432",22.67212,18.17022,30.15614,22.29498,25.47834,24.33298,257.6611,629.9004,142.4923,255.2331
"NM_024433",27.01359,30.63832,32.68471,25.26764,23.54155,23.99798,1.28938,0.5920973,1.800102,1.06139
"NM_024434",18.93363,19.31916,23.962,18.51889,24.68726,22.65799,6.017108,18.94711,14.11659,18.66798
"NM_024435",0.4220873,0.382979,0.3054646,0.08034226,0.109115,0.03045429,0,0,0,0
"NM_024436",17.42618,16.80852,14.69624,16.91205,18.52226,17.26758,66.61798,112.4985,69.73025,65.55645
"NM_024437",0.2411927,0.382979,0.2036431,0.2008556,0.08183622,0.2436343,0,0,0,0
"NM_024438",3.738487,4.89362,4.514088,4.700022,4.391877,3.563152,8.380971,12.61623,12.03226,14.04781
"NM_024439",15.61723,13.44682,21.2807,13.93938,14.67596,15.83623,51.57521,96.73958,110.6589,106.6385
"NR_030782",0,0,0,0,0,0,0,0,0,0
"NR_030780",2.050138,2.085108,0.8994235,1.76753,2.236857,1.857712,0,0.2277297,1.894844,1.810607
"NR_030781",2.050138,1.148937,0.3733456,0.5623958,0.9547559,1.400897,0.4297934,0.3188216,0.8526797,3.746083
"NR_037255",0,0,0,0,0,0,0,0,0,0
"NR_037254",0,0,0,0,0,0,0,0,0,0
"NR_037257",0,0,0,0,0,0,0,0,0,0
"NR_037256",0,0,0,0,0,0,0,0,0,0
"NR_037251",0,0,0,0,0,0,0,0,0,0
"NR_037250",0,0,0,0,0,0,0,0,0,0
"NM_001252578",2.110436,2.297874,0.7466912,1.727359,0.5728535,0.7918116,0,0,0,0
"NM_001252579",0,0,0,0.04017113,0,0.03045429,0,0,0,0
"NM_001252577",0,0,0,0,0,0,0,0,0,0
"NM_001252574",0,0,0,0,0,0,0,0,0,0
"NM_001252575",0,0,0,0,0,0,0,0,0,0
"NM_001252572",0,0,0,0,0,0,0,0,0,0
"NM_001252573",0,0,0,0,0,0,0,0,0,0
"NM_001252570",0,0,0,0,0,0,0,0,0,0
"NM_001252571",0,0,0,0,0,0,0,0,0,0
"NM_147085",0,0,0,0,0,0,0,0,0,0
"NM_147084",0,0,0,0,0,0,0,0.04554594,0,0
"NM_147087",0,0,0,0,0,0,0,0,0,0
"NM_147081",0,0,0,0,0,0,0,0,0,0
"NM_147080",0,0,0,0.04017113,0,0,0,0,0,0
"NM_027208",0,0,0,0,0,0,0,0,0,0
"NM_027209",0.6029818,0.4680854,0.7297209,1.245305,0.8456409,0.5786315,0.2148967,0.5465513,0.1894844,0.2497389
"NM_027206",0.3014909,0.595745,0.7976019,0.8435937,0.5182961,0.4568144,0,0,0.09474219,0
"NM_027207",1.266262,1.361703,2.206133,1.285476,1.882233,1.70544,0.2148967,0.09109189,0.9474219,0.8116513
"NM_027204",15.25544,13.9149,26.89785,18.47872,19.74981,17.29804,37.60692,56.65915,37.13894,45.57734
"NM_147089",0,0,0,0,0,0,0,0,0,0
"NM_027203",6.451906,6.382983,8.586949,6.306867,7.58349,6.24313,11.81932,17.89956,16.76937,16.79494
"NM_027201",4.823855,2.978725,6.380816,5.182076,4.446435,4.263601,12.03422,25.50573,17.33782,19.97911
"NR_027838",3.678189,3.617024,1.934609,2.570952,2.918825,2.34498,0.8595868,0.6831891,2.084328,0.9365207
"NR_027831",2.231033,3.191491,3.207378,3.053006,3.055219,3.106338,3.438347,2.231751,8.621539,5.993733
"NR_027832",0,0,0,0,0,0,0,0,0,0
"NR_027836",0,0,0,0,0,0,0,0.09109189,0,0.06243472
"NR_027837",0,0,0,0,0,0,0,0,0,0
"NM_001004178",2.713418,1.957448,1.832787,1.888043,1.445773,1.735895,2.148967,1.093103,0.7579375,0.5619124
"NM_001004177",0,0,0,0,0,0,0,0,0,0
"NM_001004176",17.18498,19.14895,9.978509,16.30948,16.01262,15.13578,7.951178,7.469535,7.76886,6.305906
"NM_001004174",1.266262,1.574469,1.527323,2.209412,2.59148,0.9745373,103.5802,127.5286,172.4308,126.68
"NM_001004173",21.16466,19.8298,22.3668,22.41549,9.438444,8.405384,11.38953,8.653729,38.27584,30.78031
"NM_008949",3.497295,3.82979,5.549273,4.98122,4.200926,3.837241,20.84498,66.36044,33.63348,61.18602
"NM_001134791",0,0,0,0,0,0,0,0,0,0
"NM_029857",4.823855,5.489365,5.32866,4.499166,5.83765,6.395401,0.4297934,0.2732757,1.136906,0.437043
"NM_001037709",0.3014909,0.382979,0.1018215,0.04017113,0.1909512,0.2436343,0,0.1821838,0.09474219,0.06243472
"NM_029851",26.4106,27.48938,8.451187,23.78131,29.48832,31.85519,119.0528,174.4865,150.9243,218.022
"NR_040544",0,0,0,0,0,0,0,0.3188216,0,0.1248694
"NM_029850",19.8381,18.72342,18.88789,18.96077,15.82167,14.9226,0.6446901,0.5920973,0.9474219,0.3121736
"NR_045308",0,0.04255322,0,0,0,0,0,0.04554594,0,0
"NR_045309",0,0,0,0,0,0,0,0,0,0
"NM_026551",46.00751,46.25535,70.69808,49.531,51.17492,47.26506,3.008554,2.778303,6.347727,4.120691
"NM_026550",16.28051,18.34044,22.45165,19.64368,31.37055,31.42883,8.380971,9.974562,20.27483,20.97806
"NM_026553",6.271011,6.595749,11.84524,8.55645,6.628734,7.644027,14.39808,34.15946,13.26391,25.91041
"NM_026552",2.291331,2.212767,3.648605,2.811979,2.37325,2.984521,0.4297934,0.819827,0.4737109,0.874086
"NM_026555",112.3958,92.80857,163.712,102.8381,56.98529,52.62501,0.6446901,0.5010054,0.5684531,0.1873041
"NM_026554",31.11386,32.80853,50.19801,38.20274,45.52822,43.976,21.27477,33.02081,35.43358,27.72101
"NM_026557",0,0,0,0,0,0,0,0,0,0
"NM_026556",7.597571,7.957452,7.093566,6.949605,9.73851,10.75036,4.727727,16.30545,1.610617,2.24765
