Gene	S1	S2	S2/S1_log2FC
NM_197987	775.90225	875.34105	0.173759350038
NM_197986	0.0	0.03121736	0.0443484560262
NM_001033908	0.0	0.0	0.0
NR_029550	0.0	0.0	0.0
NR_029553	0.0	0.0	0.0
NR_029552	0.0	0.0	0.0
NR_029555	0.0	0.0	0.0
NR_029554	0.0	0.0	0.0
NR_029557	0.0	0.0	0.0
NR_029556	0.0	0.0	0.0
NR_029559	0.02277297	0.0	-0.0324859384315
NR_029558	0.0	0.0	0.0
NM_001033904	0.0	0.0	0.0
NM_146473	0.0	0.0	0.0
NM_146472	0.0	0.0	0.0
NM_146471	1.1229224	0.45537695	-0.544658769966
NM_146470	1.0189978	0.75466715	-0.202441952887
NM_146477	0.10744835	0.03121736	-0.102890958839
NM_146476	0.0	0.0	0.0
NM_146474	0.0	0.0	0.0
NM_146479	0.0	0.0	0.0
NM_146478	0.0	0.0	0.0
NM_029929	4.6318515	10.078748	0.976113654069
NM_001122682	0.0	0.0	0.0
NM_001122683	0.36436755	0.172240545	-0.218963704851
NM_001122680	0.0	0.0	0.0
NM_001122685	2.072971	0.28313645	-1.2599595559
NM_029922	0.0	0.0	0.0
NM_023372	0.0	0.0	0.0
NM_023370	0.0	0.0	0.0
NM_023371	6.4857715	23.811705	1.72879796076
NM_023377	1.5007536	0.64595145	-0.603441133584
NM_023374	32.463575	28.834235	-0.165622796203
NM_027347	0.0	0.0	0.0
NM_008955	0.0	0.0	0.0
NM_008954	0.02277297	0.0	-0.0324859384315
NM_008957	1.22395455	0.8494092	-0.266062834078
NM_008956	0.0	0.0	0.0
NM_008951	66.194645	60.649575	-0.124255314655
NM_008950	49.32603	48.928895	-0.0114298163782
NM_008953	0.045545945	0.0	-0.0642564604614
NM_008952	0.7357819	0.1421133	-0.603879909236
NM_001204129	0.0	0.0	0.0
NM_008959	45.930225	41.9477	-0.127936505118
NM_008958	19.826835	14.312315	-0.443751199521
NM_001005784	0.045545945	0.0947422	0.0663347102139
NM_001037737	0.0	0.0	0.0
NM_001037736	0.0	0.0	0.0
NM_001270423_1	0.0	0.0	0.0
NM_027344	0.13663785	0.0	-0.184772662995
NM_001033290	1.47156375	1.8732397	0.217254235765
NM_001033291	0.0	0.0	0.0
NM_001033292	0.64116665	0.95485445	0.252339451939
NM_001033293	0.94073865	0.4230695	-0.447599728226
NM_001033294	3.801454	6.720849	0.685288141819
NM_001033296	55.5491	33.197825	-0.725599491518
NM_001033297	0.35153455	0.5199919	0.169465242874
NM_001033298	251.2885	189.29385	-0.406845509111
NM_001033299	0.8426	0.03121736	-0.837394462121
NM_019510	0.17576725	0.12595956	-0.0624474860543
NM_026479	0.9471555	5.5937535	1.75973185209
NM_026476	0.0	0.0	0.0
NM_026474	54.84262	35.669745	-0.606776397242
NM_026472	16.37907	17.25626	0.0710403615108
NM_026473	30.09945335	8.96483095	-1.64197198609
NM_026470	1074.6423	341.7237	-1.65008053037
NM_001033128	22.02387	41.63404	0.888875420202
NM_001033126	0.13663785	0.0624347	-0.0973984908097
NM_001033124	0.19854025	0.09365205	-0.132124547498
NM_001033122	0.2148967	0.2982001	0.0956791225659
NM_001033123	0.0	0.0	0.0
NM_001170705	0.152994295	0.0	-0.205385374572
NM_026298	302.4775	233.0263	-0.374918888433
NM_001024837	0.0	0.0	0.0
NM_026293	119.92163	50.772205	-1.22382266185
NM_026290	162.6376	39.40215	-2.01800030999
NM_026291	0.02277297	0.0	-0.0324859384315
NM_026296	6.848507	3.5849415	-0.775514913814
NM_001142581	0.0	0.0	0.0
NM_026295	53.8901941629	30.7307613151	-0.790666306355
NM_028528	125.79835	13.3751	-3.14089207484
NM_028529	50.506335	21.79348	-1.17612868165
NM_028526	3.8890225	3.10905	-0.250741159151
NM_028527	0.0	0.0	0.0
NM_028524	270.5769	260.81395	-0.0528188017514
NM_028525	42.25862	6.4346405	-2.54065275444
NM_028522	0.0	0.0	0.0
NM_028523	13.24734	10.6332265	-0.29244130423
NM_028521	789.97835	781.48205	-0.015580549737
NM_054082	0.387140517303	0.721269578111	0.311359123955
NM_025920	175.1014	171.69525	-0.0281779766479
NM_054080	0.0	0.0	0.0
NM_054081	47.9215255066	50.9084716092	0.0855006179724
NM_054087	0.738675048939	1.54055169618	0.547153496783
NM_054084	0.0	0.0	0.0
NM_054085	0.79416095	1.0227401	0.173001644382
NM_025929	31.417535	11.829095	-1.3373549915
NM_025928	2.7952895	6.692704	1.01928086053
NM_054088	0.29604865	0.3305075	0.0378567688486
NM_054089	2.763837	2.2834255	-0.197002429545
NM_001142631	5.122917	7.32597	0.443399233609
NM_028295	0.98628455	1.14324915	0.109727256794
NM_028296	0.0	0.1421133	0.19170577613
NM_001040689	0.3743075	0.23576535	-0.153300014966
NM_028291	149.93185	101.599625	-0.556871821022
NM_028292	47.96381	34.88376	-0.448384754441
NM_028293	0.0	0.03121736	0.0443484560262
NM_028298	13.101395	10.934697	-0.240675950774
NM_028299	20.74028	16.93715	-0.277419840048
NM_175249	0.0	0.0	0.0
NM_175246	67.020035	59.387995	-0.171697974923
NM_175247	2.4052555	3.629042	0.442950603214
NM_175244	6.993824	7.5239775	0.0926409756739
NM_175245	7.544529	14.916745	0.897472459045
NM_175242	0.6283339	0.69441286	0.0573888804982
NM_175240	38.58902	14.17496	-1.38340764119
NM_175241	2.5418935	2.4781625	-0.0261954957976
NR_040663	1.855181	1.6331135	-0.116812496119
NR_040660	0.10744835	0.03121736	-0.102890958839
NR_040661	5.6332315	1.3811945	-1.47802640966
NR_040666	0.02277297	0.047371095	0.0342867569987
NR_040667	0.0	0.109805795	0.150307241347
NR_040664	0.0	0.0	0.0
NR_040665	14.435429	17.95553	0.296373214458
NR_040668	0.0	0.0	0.0
NR_040669	0.380724	0.12486945	-0.295667385724
NM_207202	0.22131320903	0.441403475118	0.239040997928
NM_146869	0.0	0.0	0.0
NM_207201	0.0	0.0	0.0
NM_207206	26.56248	21.22988	-0.3102055433
