Gene	S1	S2	S2/S1_log2FC
NM_177327	0.0	0.0	0.0
NM_001008785	0.0200855643356	0.237669673605	0.278936149619
NM_177325	23.2828594745	6.36964406214	-1.72027147184
NM_177324	53.0618413566	113.93928953	1.08818948035
NM_177323	13.762178612	2.148336626	-2.22924394116
NM_177322	1.92550886032	28.8075839476	3.3489199498
NM_177321	0.0	0.0910918864243	0.125772603501
NM_177320	0.612117857593	0.305988588424	-0.303814928431
NM_177328	0.8856914345	0.481755854241	-0.347785862197
NM_001164244	0.0	0.0	0.0
NM_001276396	0.0	0.0	0.0
NM_001276397	0.0	11.3546621814	3.62698365788
NM_001276390	2.02978988946	0.0	-1.59921774883
NM_001276391	0.0	0.0	0.0
NM_001164242	0.0	0.0	0.0
NM_001164243	0.0	0.0	0.0
NM_001164248	0.0	0.0	0.0
NM_001164249	1.83012295251	0.260442645211	-1.16693425945
NM_001167910	0.0	0.0	0.0
NM_001167913	0.00848512709985	1.28233331097	1.17831968999
NM_001167914	0.054026072735	3.91531884772	2.22137445019
NM_177326	46.9875158001	18.1178632678	-1.32773784239
NM_001167918	17.0785094965	2.73464777472	-2.27523164814
NM_001253803	0.0	0.0	0.0
NM_001161540	0.0200855643356	0.0	-0.0286901699079
NM_001161541	0.293331238147	0.0	-0.371091814538
NM_001164790	0.0	0.0	0.0
NM_001164791	14.9592781541	11.6689584588	-0.333097476823
NM_001164797	0.0455409456352	0.11386485803	0.0913246432416
NM_001161548	0.0709963269347	0.0	-0.0989535322617
NM_001164798	0.0	0.0	0.0
NM_001164799	0.0	0.0	0.0
NM_001177890	0.0	0.0	0.0
NM_001177897	0.0	0.0	0.0
NM_001177896	0.0	0.0	0.0
NM_001177899	0.0	0.0	0.0
NM_001177898	0.0	0.0	0.0
NM_172919	7.96216406835	4.75854919114	-0.638141752965
NM_172918	25.3713073564	44.2042628487	0.777489733449
NM_172913	0.903194588912	3.59360418872	1.27120347613
NM_172912	0.145968767313	116.03277065	6.67420102408
NM_172911	6.77789448471	0.367890996211	-2.50742639317
NM_172910	0.0	0.0227729716061	0.032485940697
NM_172916	0.583014265946	360.000707449	7.83318359718
NM_172914	0.711684875963	159.802939903	6.55373284919
NM_010587	2.94212541166	9.19349254129	1.37060286003
NM_010586	0.0	0.0	0.0
NM_010585	96.1469769415	8.7450800102	-3.31742316652
NM_010584	0.0	0.0	0.0
NM_010583	0.13350752677	0.130221322606	-0.00418865870995
NM_001011721	0.0	0.0	0.0
NM_010581	6.66812073263	0.937215286363	-1.9848887598
NM_010580	0.0	0.0	0.0
NM_010589	0.0	0.0	0.0
NM_010588	5.07750794265	3.89191548212	-0.31308039514
NR_033197	0.211595277284	49.2313034606	5.37360694739
NM_145363	0.057141382871	0.0683189148182	0.0151740482629
NM_001013384	0.0888273844424	0.0227729716061	-0.0902893160688
NM_001013385	0.470986007032	0.0683189148182	-0.461441137822
NM_001013386	1.30994778949	0.367890996211	-0.755906973481
NM_001013387	0.0	0.0	0.0
NM_001013380	71.5544989649	94.3580573997	0.39428977022
NM_001013381	6.469191693	0.182183772849	-2.65949780193
NM_001013382	0.0625111998349	25.4240922223	4.63630395611
NM_001013389	6.32605114757	22.0919325533	1.65628123814
NR_030526	0.00848512709985	0.0	-0.0121898075825
NM_011425	0.0	0.0	0.0
NR_030524	0.0	0.0	0.0
NR_030525	0.0	0.0	0.0
NR_030529	0.0	0.0	0.0
NM_001002786	0.425977961608	0.22131320903	-0.223518454435
NM_023566	0.308047	0.33517805	0.0296177625911
NM_001081082	0.0370558185353	1.66305732124	1.3605899344
NM_001081083	0.0	0.0	0.0
NM_001081084	0.582153462638	4.6831833753	1.84480972425
NM_001081085	6.85348191644	0.130221322606	-2.79672711626
NM_001081086	55.6214398892	33.8858440487	-0.698706698119
NM_001081087	0.131253019942	8.68959410944	3.09851458983
NM_001081088	1.01833815796	4.00641073415	1.31060874913
NM_001081089	4.50457750444	9.41128229981	0.91944402705
NM_011980	50.3718928066	1.74836309463	-4.22433471032
NM_011981	57.8521670517	7.6298347955	-2.76969069242
NM_011982	0.213849784112	0.605560669816	0.403487284878
NM_011983	0.0	0.0	0.0
NM_011984	0.0	0.0	0.0
NM_011985	25.2481707456	0.11386485803	-4.55857077337
NM_011986	31.5713936713	2.10920718981	-3.38898678878
NM_011987	0.130392216634	29.7432795325	4.76537573022
NM_011988	57.7996580499	0.959988257969	-4.90689084859
NM_011989	26.5527079033	2.03447176797	-3.18267681176
NM_001252372	0.0	0.0	0.0
NM_001081556	0.0	0.0	0.0
NM_001081557	7.14865766718	21.061993112	1.43692880386
NM_001109045	0.0	0.0	0.0
NM_001037922	0.737140257263	0.888776286634	0.120737591512
NM_001037923	1.42304184883	3.10190837693	0.759475945069
NM_001037926	0.00848512709985	0.107448351	0.135049608585
NM_001037927	0.316532112618	60.6511325868	5.54931278159
NM_001037925	0.0	0.0	0.0
NM_019650	60.4518949752	132.934503205	1.12399826046
NM_001037928	0.250905602648	59.5150055825	5.5962480958
NM_001037929	0.0169702541997	0.403496981879	0.464748479635
NM_019651	40.3392348199	48.7938327616	0.268455382647
NM_011676	49.4798891221	4.10744257812	-3.30503575723
NM_011677	1.05453317319	0.0	-1.03881062494
NM_011674	0.568831418786	3.71451594778	1.58741931947
NM_011675	7.84948000324	5.49722424008	-0.445769186627
NM_011672	0.590638589737	1.825991573	0.829151086603
NM_011673	39.6095138893	12.364980621	-1.60336001208
NM_011670	17.449929408	4.9635059356	-1.62938265303
NM_011671	179.460675206	6.62077714381	-4.5656025517
